year,Africa,Asia,Europe,North America,Oceania,South America,Unknown
1997,534420.0,4779368.0,2290328.0,1934950.0,92818.0,2159310.0,6034989.0
1998,568142.0,4095252.0,2198228.0,2455302.0,94106.0,2170502.0,5860927.0
1999,599452.0,4254634.0,2163808.0,3332712.0,105130.0,1883214.0,6238484.0
2000,655136.0,4912918.0,2190592.0,4723946.0,105670.0,1652472.0,7184174.0
2001,697870.0,4883414.0,2130078.0,5589696.0,111022.0,1730232.0,7624022.0
2002,498682.0,3709890.0,1776156.0,4002780.0,93890.0,1430136.0,5796777.0
2003,478112.0,3409702.0,1707876.0,2732304.0,91198.0,1328698.0,4897012.0
2004,501824.0,3679070.0,1820970.0,2545810.0,98470.0,1444080.0,5057073.0
2005,505656.0,4059790.0,1978038.0,2634646.0,95348.0,1498222.0,5395153.0
2006,509844.0,4491056.0,2144000.0,2690166.0,97106.0,1735846.0,5842172.0
2007,553236.0,5272488.0,2071780.0,2912554.0,100006.0,1972496.0,6450295.0
2008,624568.0,5252246.0,2204056.0,2806644.0,106178.0,2205672.0,6609864.0
2009,582636.0,4218158.0,1815354.0,2581658.0,92474.0,2312754.0,5809512.0
2010,607702.0,4676740.0,1838702.0,3106098.0,95548.0,2515038.0,6428425.0
2011,651340.0,5386972.0,1976978.0,3499058.0,98362.0,3397106.0,7514001.0
2012,774964.0,6260632.0,2044116.0,4315244.0,99266.0,4353292.0,8933756.0
2013,807014.0,6749322.0,2159080.0,3957256.0,105868.0,4541802.0,9172705.0
2014,939464.0,7843954.0,2233482.0,4039056.0,113194.0,4686358.0,9941932.0
2015,987590.0,9999772.0,2138736.48,4182708.0,121920.0,4345696.0,10898813.24
2016,1102308.0,9408144.0,2370736.0,4219978.0,138600.0,3515940.0,10388767.0
