categories,name,price,rating,url
"Seafood, Burgers",Burger & Lobster,$$,4.0,https://www.yelp.com/biz/burger-and-lobster-new-york?osq=burgers
Burgers,The Burgary,$$,4.5,https://www.yelp.com/biz/the-burgary-new-york?osq=burgers
"Gastropubs, Burgers",Juanchi’s Burger,$$,4.5,https://www.yelp.com/biz/juanchis-burger-brooklyn?osq=burgers
Burgers,Black Iron Burger,$$,4.0,https://www.yelp.com/biz/black-iron-burger-new-york-8?osq=burgers
"American (New), Breakfast & Brunch, Burgers",Benson’s NYC,$$,4.5,https://www.yelp.com/biz/bensons-nyc-new-york?osq=burgers
"Burgers, Mexican",Breakroom,$,4.5,https://www.yelp.com/biz/breakroom-new-york?osq=burgers
"Burgers, Bars",Two 8 Two Bar & Burger,$$,4.0,https://www.yelp.com/biz/two-8-two-bar-and-burger-brooklyn?osq=burgers
Burgers,Paul’s Da Burger Joint,$,4.0,https://www.yelp.com/biz/pauls-da-burger-joint-new-york-2?osq=burgers
Burgers,Burger Club,$$,4.0,https://www.yelp.com/biz/burger-club-astoria?osq=burgers
"Gastropubs, Burgers, Beer, Wine & Spirits",Brooklyn Burgers & Beer,$$,4.0,https://www.yelp.com/biz/brooklyn-burgers-and-beer-brooklyn?osq=burgers
"Burgers, American (New)",The Burger Bistro,$$,4.0,https://www.yelp.com/biz/the-burger-bistro-brooklyn?osq=burgers
"Burgers, Salad, Beer, Wine & Spirits",Black Iron Burger,$$,4.0,https://www.yelp.com/biz/black-iron-burger-new-york-7?osq=burgers
Burgers,212 Burgers,$$,4.5,https://www.yelp.com/biz/212-burgers-brooklyn-2?osq=burgers
"Burgers, Beer, Wine & Spirits, Bars",Black Tap Craft Burger & Beers,$$,4.0,https://www.yelp.com/biz/black-tap-craft-burger-and-beers-new-york?osq=burgers
"Burgers, American (Traditional)",Whitman’s,$$,4.0,https://www.yelp.com/biz/whitmans-new-york?osq=burgers
"Hot Dogs, Burgers, Breakfast & Brunch",Kings of Kobe,$$,4.5,https://www.yelp.com/biz/kings-of-kobe-the-burger-and-hot-dog-monarchy-new-york-2?osq=burgers
Burgers,Moo Burger,$$,4.0,https://www.yelp.com/biz/moo-burger-brooklyn?osq=burgers
"Burgers, American (New)",Burger Bistro,$$,4.0,https://www.yelp.com/biz/burger-bistro-brooklyn-2?osq=burgers
"Burgers, Sandwiches",L.E.S Kitchen,$,4.0,https://www.yelp.com/biz/l-e-s-kitchen-new-york?osq=burgers
"Burgers, Fast Food, Beer Bar",Left Bank Burger Bar,$$,4.0,https://www.yelp.com/biz/left-bank-burger-bar-jersey-city?osq=burgers
"Burgers, Sandwiches, Juice Bars & Smoothies",Island Burgers & Shakes,$$,4.0,https://www.yelp.com/biz/island-burgers-and-shakes-new-york?osq=burgers
"Burgers, Salad, Juice Bars & Smoothies",67 Burger,$$,4.0,https://www.yelp.com/biz/67-burger-brooklyn?osq=burgers
"Halal, Burgers, Fast Food",Burgers By Honest Chops,$$,4.0,https://www.yelp.com/biz/burgers-by-honest-chops-new-york-4?osq=burgers
"American (Traditional), Burgers",burger joint,$$,3.5,https://www.yelp.com/biz/burger-joint-new-york?osq=burgers
"Burgers, Salad, American (Traditional)",Bareburger,$$,4.0,https://www.yelp.com/biz/bareburger-new-york-12?osq=burgers
Burgers,Black Burger,$,4.0,https://www.yelp.com/biz/black-burger-new-york?osq=burgers
"Burgers, American (Traditional)",Burger & Barrel,$$,3.5,https://www.yelp.com/biz/burger-and-barrel-new-york-3?osq=burgers
"Burgers, Hot Dogs, American (New)",Emoji Burger,$$,4.0,https://www.yelp.com/biz/emoji-burger-jackson-heights?osq=burgers
"Burgers, Sandwiches, Comfort Food",Gnarly Eats,$,4.0,https://www.yelp.com/biz/gnarly-eats-brooklyn?osq=burgers
"Burgers, American (Traditional), Sandwiches",Juniper,$$,4.0,https://www.yelp.com/biz/juniper-brooklyn-2?osq=burgers
