name,slug
Burger & Lobster,burger-and-lobster-new-york
The Burgary,the-burgary-new-york
Juanchi’s Burger,juanchis-burger-brooklyn
Black Iron Burger,black-iron-burger-new-york-8
Benson’s NYC,bensons-nyc-new-york
Breakroom,breakroom-new-york
Two 8 Two Bar & Burger,two-8-two-bar-and-burger-brooklyn
Paul’s Da Burger Joint,pauls-da-burger-joint-new-york-2
Burger Club,burger-club-astoria
Brooklyn Burgers & Beer,brooklyn-burgers-and-beer-brooklyn
The Burger Bistro,the-burger-bistro-brooklyn
Black Iron Burger,black-iron-burger-new-york-7
212 Burgers,212-burgers-brooklyn-2
Black Tap Craft Burger & Beers,black-tap-craft-burger-and-beers-new-york
Whitman’s,whitmans-new-york
Kings of Kobe,kings-of-kobe-the-burger-and-hot-dog-monarchy-new-york-2
Moo Burger,moo-burger-brooklyn
Burger Bistro,burger-bistro-brooklyn-2
L.E.S Kitchen,l-e-s-kitchen-new-york
Left Bank Burger Bar,left-bank-burger-bar-jersey-city
Island Burgers & Shakes,island-burgers-and-shakes-new-york
67 Burger,67-burger-brooklyn
Burgers By Honest Chops,burgers-by-honest-chops-new-york-4
burger joint,burger-joint-new-york
Bareburger,bareburger-new-york-12
Black Burger,black-burger-new-york
Burger & Barrel,burger-and-barrel-new-york-3
Emoji Burger,emoji-burger-jackson-heights
Gnarly Eats,gnarly-eats-brooklyn
Juniper,juniper-brooklyn-2
